basic_type,basic_title_url,basic_cover_url,basic_title,basic_creator,special_organization1,basic_cycle,basic_date_time,basic_description,basic_keyword
学术报告,http://www.wsbgt.com/Play?catalogId=28&courseId=36328,https://img.cdn.bjadks.com/images/CRSISTG0605164240094.jpg,周秦之变,秦晖,文化中国,8,2018/6/8,本课程主要讲了周秦之变，秦朝与西周相比在经济、政治和社会结构方面发生的深刻变化，这是中国历史上第一次真正意义上的社会转型。传统说法将其形容为 “从奴隶社会演变为封建社会”，并且说春秋时期是奴隶制度的瓦解时期，战国时期是封建社会的形成时期。敬请收看！,周秦之变（一）;周秦之变（二）;周秦之变（三）;周秦之变（四）;周秦之变（五）;周秦之变（六）;周秦之变（七）;周秦之变（八）
学术报告,http://www.wsbgt.com/Play?catalogId=28&courseId=36249,https://img.cdn.bjadks.com/images/CRSISTG0514161128001.jpg,《论语》的修身之道,徐瑾,文化中国,6,2018/5/24,《论语》较详细地反映了孔子的修身之道，既包含人际交往中的处世哲学，也涵盖个人自我修身的内容与方法。修身之道是孔子核心思想“仁”的具体表现，也是儒家学说的重要组成部分。孔子提倡个人注重自律、自强、自省的修身之道，这是接近“仁”的重要途径，是其价值观和道德观的具体体现。,正直;仁德;仁德的力量;人格的塑造（上）;人格的塑造（下）;礼法
学术报告,http://www.wsbgt.com/Play?catalogId=28&courseId=36335,https://img.cdn.bjadks.com/images/CRSISTG0605164240047.jpg,张骞凿空西域与中国西北边疆的开拓,曹玉骞,文化中国,6,2018/6/8,张骞出使西域本为贯彻汉武帝联合大月氏抗击匈奴之战略意图，但出使西域后汉夷文化交往频繁，中原文明通过"丝绸之路"迅速向四周传播。因而，张骞出使西域这一历史事件便具有特殊的历史意义。张骞对开辟从中国通往西域的丝绸之路有卓越贡献，至今举世称道。,张骞凿空西域与中国西北边疆的开拓（一）;张骞凿空西域与中国西北边疆的开拓（二）;张骞凿空西域与中国西北边疆的开拓（三）;张骞凿空西域与中国西北边疆的开拓（四）;更多>
学术报告,http://www.wsbgt.com/Play?catalogId=28&courseId=36334,https://img.cdn.bjadks.com/images/CRSISTG0605164240053.jpg,从康德人格自由发展的理念谈传统文化与现代化的关系,朱高正,文化中国,5,2018/6/8,"从康德哲学的体系的立场出发,理性的自由是康德的思想目标。这种美德作为一种道德的情感,它不仅反映了意志与规定因的真实关系,而且表达了良心实存于道德世界中国传统文化在社会主义现代化建设中仍具有重要价值。中国传统文化与现代化建设既相互冲突又相互融合，欢迎收看！",从康德人格自由发展的理念谈传统文化与现代化的关系（一）;从康德人格自由发展的理念谈传统文化与现代化的关系（二）;从康德人格自由发展的理念谈传统文化与现代化的关系（三）;更多>
学术报告,http://www.wsbgt.com/Play?catalogId=82&courseId=35840,https://img.cdn.bjadks.com/images/CRFHWXG0131151025176.jpg,走好品牌营销第一步 品牌价值定位,杨永春,营销管理,8,2018/3/30,定位是品牌营销的方向，决定了企业的精准客户与目标市场，因此，成功的品牌营销，第一步要做好品牌价值定位。本课程将带你认识品牌及其价值定位，透过相思茗茶品牌打造案例剖析品牌营销的步骤，分享品牌具象和品牌定位要素，帮助企业装备品牌定位策略，做对品牌价值定位，提升品牌影响力。,认识品牌价值定位;品牌营销案例解析（一）;品牌营销案例解析（二）;品牌营销案例解析（三）;品牌营销案例解析（四）;品牌具象的八大要素（上）;品牌具象的八大要素（下）;品牌营销的六大核心与品牌定位
学术报告,http://www.wsbgt.com/Play?catalogId=80&courseId=36174,https://img.cdn.bjadks.com/images/CRSHWXG0403145145115.jpg,社群时代的创业与创新,谢晶,企业创新,3,2018/8/16,许多创业者都认为社群能为创业项目的传播提供助力，那么创业者应该如何抓住社群时代的机会，更好地利用社群这一工具呢?在本课程中，你将了解互联网时代的创新逻辑，全面认知社群，绕开社群误区，掌握社群商业与社群创业两者的特点及方法论，社群经济实践者谢晶结合实操案例，分享超前的社群运营思维，帮助创业者实现社群创业从0到1、从1到N的价值跨越。,互联网时代的创新逻辑;社群时代 认知社群;社群商业与社群创业
学术报告,http://www.wsbgt.com/Play?catalogId=82&courseId=36286,https://img.cdn.bjadks.com/images/CRSHWXG0605141230071.jpg,创造意外 干营销10年总结的“爆红秘籍”,廖恒,营销管理,7,2018/8/16,企业网络营销的目的是开拓市场，而有效果的信息传播能短时间引发广泛的关注。没有关注，网络营销就无法成功。那如何才能获得顾客的大量关注呢。方法就是创造意外。本课程通过大量实战案例解析与分享，从产品、品牌、业绩、人物等一切有可能的角度来找到意外，创造意外，帮助你通过网络营销实现品牌的低成本爆红。,爆点营销：低成本“爆红公式”;从产品角度创造意外（上）;从产品角度创造意外（下）;从创始人角度去创造意外（上）;从创始人角度去创造意外（下）;从公司 品牌业绩角度创造意外（上）;更多>
学术报告,http://www.wsbgt.com/Play?catalogId=82&courseId=35846,https://img.cdn.bjadks.com/images/CRFHWXG0131151025154.jpg,网红的粉丝营销之路,秦绪文,营销管理,3,2018/3/30,一提到网红，很多人的第一反应就是炒作，那么，网红炒作到底是如何进行?网红的粉丝营销又是怎样操作的呢?本课程将揭秘网红炒作的流程，介绍网红经历的阶段，剖析网红变现的模式，带你认识网红的粉丝营销之路;帮助企业认清网红发展趁势，把握网红电商模式。,网红炒作的特点;网红炒作的流程与注意事项;网红的发展趋势与变现模式
学术报告,http://www.wsbgt.com/Play?catalogId=82&courseId=36231,https://img.cdn.bjadks.com/images/CRSJUVG0509102013065.jpg,互联网+玩转自媒体营销,肖森舟,营销管理,10,2018/5/23,"本课程中教你如何用互联网+苹果手机玩赚人生，这里有你不知道的苹果手机使用秘籍。普通人只会把自媒体当玩具,成功者要把自媒体当工具,移动营销时代,少不了手机的支持,如何玩好手机,玩赚互联网+,此次课程将会带给你巅覆的开始。全面剖析自媒体的创作、推广、经营，让读者一书在手轻松玩转自媒体！敬请收看！",互联网+自媒体营销（一）;互联网+自媒体营销（二）;互联网+自媒体营销（三）;互联网+自媒体营销（四）;互联网+自媒体营销（五）;互联网+自媒体营销（六）;互联网+自媒体营销（七）;更多>
学术报告,http://www.wsbgt.com/Play?catalogId=82&courseId=36173,https://img.cdn.bjadks.com/images/CRSHWXG0403145145118.jpg,社群运营的五个手指,谢晶,营销管理,4,2018/8/16,运营好一个社群，能为创业项目的传播带来强劲的势能，那么社群线上运营到底在运营什么？做好社群运营，需要掌握哪些运营原则和方法？这些问题将在本课程中得到解答，社群书院联合发起人谢晶，用实操案例支招成功运营社群的秘密武器，使学员抓住社群运营的五要素，掌握社群运营核心机制，懂得通过运营社群活动，让社群保持活跃，为创业项目提供更多价值。,社群运营在运营什么;社区运营规则的制定;社群运营的方法;社群运营的核心机制
