机构名称,发文量,引证量,篇均被引,高被引文章量,CSSCI论文量,CSCD论文量,北大核心论文量,国家基金论文量,SCI论文量,SSCI论文量,A&HCI论文量,EI论文量,排名,一流大学(2017),坐标
北京大学,229264,629698,2.75,80,40841,53017,138804,36510,65671,4918,270,36266,1,是,116.316833，39.998877
上海交通大学,203537,457720,2.25,35,12459,59105,118884,38493,58576,2113,65,43227,2,是,121.439446，31.205568
浙江大学,193095,456675,2.37,48,17754,50512,124020,37057,73295,2769,232,54949,3,是,120.09334，30.308693
清华大学,156458,431723,2.76,68,24381,41035,105884,35914,58013,2544,90,49723,4,是,116.333134，40.009545
中山大学,170907,407422,2.38,34,19987,35460,95872,27726,53982,2645,145,33059,5,是,113.304864，23.102915
武汉大学,174426,394158,2.26,23,33622,30353,90535,41022,33335,1673,60,24388,6,是,114.368107，30.543083
华中科技大学,151633,391985,2.59,37,14654,40158,91547,33284,40021,1276,52,30425,7,是,114.419826，30.518754
复旦大学,159387,377623,2.37,57,26800,34391,97802,24911,48553,2421,124,29149,8,是,121.510766，31.301868
南京大学,149181,355141,2.38,36,35707,24759,93478,30257,53491,1502,99,28139,9,是,118.786007，32.06143
四川大学,183216,346192,1.89,17,20931,40406,104984,33204,42287,1432,45,30711,10,是,104.090539，30.636951
中国人民大学,99524,333407,3.35,45,51339,4519,58634,21274,5408,1853,116,1980,11,是,116.319769，39.976546
中南大学,139672,333331,2.39,12,9806,47351,82166,31978,35779,1299,20,28053,12,是,112.934197，28.1772
吉林大学,155824,314803,2.02,12,22718,39122,94812,32965,38607,559,30,26977,13,是,125.285531，43.828854
首都医科大学,118135,304396,2.58,11,404,34193,56341,18411,18488,815,6,11787,14,否,116.359737，39.870847
同济大学,127742,295830,2.32,10,9059,35536,72222,29488,29841,1162,71,26959,15,是,121.508314，31.288995
北京师范大学,102103,280008,2.74,26,32994,13351,58238,22550,21773,2828,88,9053,16,是,116.372164，39.967179
山东大学,136252,254078,1.86,6,19553,26453,79742,21703,40722,1085,73,27485,17,是,117.066638，36.681366
中国农业科学院,51487,225993,4.39,8,1671,28262,39752,21411,1433,0,0,1175,18,否,116.333498，39.966962
西安交通大学,74771,217529,2.91,10,12043,25064,49522,25437,12526,382,8,16378,19,是,108.990166，34.252359
重庆大学,81743,215656,2.64,7,10148,26602,53512,23349,20270,481,27,20035,20,是,106.475186，29.571111
华南理工大学,88139,206195,2.34,2,7024,25115,58287,22969,23450,500,10,22011,21,是,113.351557，23.161069
东南大学,96333,205897,2.14,8,9779,23565,55861,23030,27691,875,27,24004,22,是,118.827343，31.893385
郑州大学,124009,203141,1.64,2,6553,25238,57059,18978,15843,240,14,10042,23,是,113.542246，34.823207
中国农业大学,59068,191147,3.24,10,4600,17333,41258,15177,18988,412,4,12147,24,是,116.363621，40.010789
华东师范大学,78546,189625,2.41,25,24469,9184,44812,15541,14311,980,100,7053,25,是,121.411329，31.233563
西南大学,85020,183016,2.15,2,12242,17386,44050,18421,13303,947,33,7271,26,否,106.42973，29.826925
厦门大学,83081,182763,2.2,27,17851,12274,45093,16066,22185,1165,69,12240,27,是,118.111907，24.442647
南开大学,60025,178827,2.98,9,25268,9777,38395,17960,8391,194,19,4168,28,是,117.175215，39.109358
西北农林科技大学,52487,178681,3.4,0,3353,22612,38877,17588,8309,128,0,5514,29,是,108.079342，34.291642
南京农业大学,50296,175786,3.5,2,5813,17398,34641,14142,11453,202,6,5947,30,否,118.849755，32.038896
苏州大学,97475,175619,1.8,4,10283,20200,46816,15588,14978,337,8,10027,31,否,120.64718，31.310695
中国地质大学（武汉）,43929,170883,3.89,11,3722,17782,25784,14469,1642,1,0,2590,32,否,114.408533，30.525762
中国矿业大学,62793,169704,2.7,7,3886,12768,35206,16715,8751,231,3,9586,33,否,116.355442，40.003664
哈尔滨工业大学,92691,169137,1.82,6,4656,28637,62083,21796,40183,676,16,38008,34,是,126.639003，45.749057
南方医科大学,61216,160080,2.62,5,687,20694,33911,10441,10386,198,5,6374,35,否,113.341254，23.193292
南京医科大学,69739,157456,2.26,3,399,22426,34841,10192,10377,304,1,5937,36,否,118.78086，32.050633
暨南大学,60497,156611,2.59,8,12924,15408,40200,13191,9267,478,12,5943,37,否,113.35451，23.136831
天津大学,51828,151965,2.93,11,7333,24530,37317,21093,5670,86,4,9656,38,是,117.180115，39.116464
兰州大学,71475,147760,2.07,1,9056,17111,40349,15750,18869,319,44,9918,39,是,103.866202，36.052393
湖南大学,55747,144517,2.59,2,10592,18029,39770,17286,14431,507,21,14151,40,是,112.951347，28.18533
大连理工大学,70780,139738,1.97,4,6516,21447,47000,21841,27270,534,8,24084,41,是,121.531261，38.888106
中国医科大学,70007,138182,1.97,12,415,17972,37263,7997,20715,1130,6,13406,42,否,116.374279，39.889131
南京师范大学,67007,136693,2.04,4,16694,7462,33101,13807,7025,336,28,3992,43,否,118.916683，32.112189
