person_id,label_name,province,city,lon_lat
1,(富察)傅鼐1,,,
2,邵洪,浙江省,宁波市,"121.550443,29.874624"
3,刁承祖,河北省,保定市,"115.464809,38.873799"
4,邵基,浙江省,杭州市,"120.15507,30.274085"
5,于成龙,山西省,汾阳市,"111.769894,37.261564"
6,(瓜勒佳)三德,,,
7,金德瑛,浙江省,杭州市,"120.15507,30.274085"
8,(章佳)阿桂,,,
9,姚文然,安徽省,安庆市,"117.054734,30.52403"
10,于成龙,,,
11,(章佳)尹继善,,,
12,(爱新觉罗)允祥,,,
13,尹会一,河北省,保定市,"115.464809,38.873799"
14,施琅,福建省,泉州市,"118.675868,24.873888"
15,胡林翼,湖南省,长沙市,"112.938814,28.228209"
16,孔有德,,,
17,胡宝,上海市,松江区,"121.227747,31.032243"
18,凌如焕,上海市,松江区,"121.227747,31.032243"
19,土国宝,山西省,大同市,"113.300126,40.076815"
20,孙士毅,浙江省,杭州市,"120.15507,30.274085"
21,方苞,安徽省,安庆市,"117.054734,30.52403"
22,方观承,安徽省,安庆市,"117.054734,30.52403"
23,孙嘉淦,山西省,太原市,"112.550617,37.870675"
24,王士肚,山东省,济南市,"117.120496,36.650928"
25,孙兰,,,
26,万承风,江西省,南城县,"116.63704,27.569678"
27,徐士林,山东省,蓬莱市,"120.758816,37.810573"
28,陈辉祖,湖南省,永州市,"111.631278,26.221893"
29,柴大纪,浙江省,衢州市,"118.859475,28.970081"
30,秦蕙田,江苏省,常州市,"119.974454,31.810076"
31,王永吉,江苏省,扬州市,"119.412966,32.39421"
32,张廷玉,安徽省,安庆市,"117.054734,30.52403"
33,王安国,江苏省,扬州市,"119.412966,32.39421"
34,张英,安徽省,安庆市,"117.054734,30.52403"
35,祁藻,山西省,太原市,"112.550617,37.870675"
36,邹炳泰,江苏省,常州市,"119.974454,31.810076"
37,王命岳,福建省,泉州市,"118.675868,24.873888"
38,雷以中,湖北省,武汉市,"114.315897,30.553898"
39,熊枚,江西省,玉山县,"118.245164,28.681966"
40,刘统勋,山东省,青州市,"118.479622,36.68444"
41,曹文埴,安徽省,歙县,"118.414501,29.86168"
42,王杰,陕西省,大荔县,"109.941658,34.797184"
43,曹振镛,安徽省,歙县,"118.414501,29.86168"
44,曹溶,浙江省,嘉兴市,"120.755487,30.746129"
45,王师,山西省,临汾市,"111.51888,36.088067"
46,刘墉,山东省,青州市,"118.479622,36.68444"
47,刘权之,湖南省,长沙市,"112.938814,28.228209"
48,王恕,重庆市,,"106.551456,29.563124"
49,梁清远,河北省,正定县,"114.570903,38.146434"
50,梁维枢,河北省,正定县,"114.570903,38.146434"
52,谢启昆,江西省,大余县,"114.362089,25.401225"
53,陈鹏年,湖南省,长沙市,"112.938814,28.228209"
54,陆 d,江苏省,苏州市,"120.585297,31.298974"
55,谢墉,浙江省,嘉兴市,"120.755487,30.746129"
56,彭孙啭,浙江省,嘉兴市,"120.755487,30.746129"
57,彭启丰,江苏省,苏州市,"120.585297,31.298974"
58,曾国藩,湖南省,长沙市,"112.938814,28.228209"
59,(赫舍里)赛冲阿,,,
60,刘星炜,江苏省,常州市,"119.974454,31.810076"
61,兰第锡,山西省,太原市,"112.550617,37.870675"
